cast,Number_MoviesShows,score
 Amadou Mbow,1,77.0
 Amaia Salamanca,3,50.666666666666664
 Amaka Obiechie,1,53.0
 Amala,1,9.0
 Amala Paul,1,25.0
 Amalia Williamson,1,65.0
 Amanda Brugel,2,60.0
 Amanda Bynes,2,76.0
 Amanda C. Miller,1,66.0
 Amanda Campana,1,76.0
 Amanda Christine,1,76.0
 Amanda Clayton,2,63.0
 Amanda Crew,4,45.0
 Amanda Debraux,1,50.0
 Amanda Detmer,1,57.0
 Amanda Musso,1,9.0
 Amanda Orestes,1,48.0
 Amanda Pays,1,66.0
 Amanda Peet,1,56.0
 Amanda Plummer,1,91.0
 Amanda Righetti,1,47.0
 Amanda Root,1,22.0
 Amanda Saunders,1,34.0
 Amanda Schull,1,43.0
 Amanda Seyfried,3,48.0
 Amanda Shaw,1,51.0
 Amanda Sohrabi,1,80.0
 Amanda Woodhams,1,64.0
 Amanda Wyss,1,44.0
 Amanda Zhou,1,71.0
 Amandla Stenberg,1,56.0
 Amarah-Jae St Aubyn,1,60.0
 Amari Avery,1,52.0
 Amarildo Kola,1,17.0
 Amaury Nolasco,2,49.0
 Ambarish Deshpande,1,43.0
 Amber Heard,4,53.75
 Amber Hood,1,16.0
 Amber Kuo,1,42.0
 Amber McDonald,1,22.0
 Amber Smith,1,67.0
 Amber Tamblyn,2,54.0
 Amber Valletta,1,64.0
 Ambyr Childers,2,77.0
 Amed Bozan,1,80.0
 Ameer Khlawe,1,54.0
 Ameesha Patel,3,45.666666666666664
 Ameet Chana,1,28.0
 Ameko Eks Mass Carroll,1,43.0
 Amelia Crouch,1,41.0
 Amelia Warner,1,70.0
 Amelie Fonlupt,1,52.0
 Amer Chadha-Patel,1,37.0
 America Ferrera,2,62.5
 America Young,5,55.6
 Amerul Affendi,1,37.0
 Ami Dolenz,1,21.0
 Ami Koshimizu,2,50.5
 Amiel Cayo,1,64.0
 Amila Terzimehic,1,51.0
 Amin Hajee,2,21.5
 Amin Joseph,1,12.0
 Amina Kane,1,77.0
 Amir Raza Hussain,1,61.0
 Amir Tessler,1,60.0
 Amira Casar,1,40.0
 Amiri Baraka,1,70.0
 Amit Rahav,1,83.0
 Amit Sadh,1,66.0
 Amit Shah,1,68.0
 Amit Sial,2,43.5
 Amit Varma,1,37.0
 Amitabh Bachchan,8,46.875
 Aml Ameen,1,48.0
 Ammar Alfian,1,37.0
 Ammo 'Too Sweet',1,68.0
 Ammu Abhirami,1,27.0
 Amole Gupte,2,53.5
 Amparo Moreno,1,57.0
 Amr Saad,1,12.0
 Amrish Puri,7,41.0
 Amrita Acharia,1,27.0
 Amrita Arora,1,39.0
 Amrita Prakash,1,58.0
 Amrita Puri,3,34.0
 Amrita Rao,4,50.25
 Amrita Singh,4,58.0
 Amruta Khanvilkar,1,42.0
 Amruta Sant,1,61.0
 Amruta Subhash,4,42.75
 Amrutha Naik,1,23.0
 Amund Hellum Noraker,1,72.0
 Amy Adams,4,65.25
 Amy Aitken,1,38.0
 Amy Benedict,1,39.0
 Amy Brenneman,1,62.0
 Amy Bruckner,2,63.5
 Amy Carlson,1,32.0
 Amy Farrington,2,53.0
 Amy Ferguson,1,53.0
 Amy Forsyth,1,52.0
 Amy Griffiths,1,61.0
 Amy Gumenick,1,9.0
 Amy Hargreaves,1,77.0
 Amy Hill,1,67.0
 Amy Hunter,1,19.0
