title,director,cast,score,Number_MoviesShows_dir,dir_average_score,Number_MoviesShows_cast,cast_average_score
MasterChef Junior,,,64.0,,,,
"Drugs, Inc.",,,42.0,,,,
Digging for Fire,,,58.0,,,,
The Guilty,,,81.0,,,,
Stan Against Evil,,,73.0,,,,
Outlaw Star,,,64.0,,,,
False Flag,,,30.0,,,,
Fairy Tail,,,78.0,,,,
Dog Days,,,64.0,,,,
The Joe Louis Story,,,12.0,,,,
Bad Reputation,,,71.0,,,,
Kaguya-sama: Love Is War,,,27.0,,,,
Kusama: Infinity,,,78.0,,,,
Ally McBeal,,,68.0,,,,
Curious George: A Very Monkey Christmas,,,45.0,,,,
The X-Files,,,79.0,,,,
A Crooked Somebody,,,68.0,,,,
Every Other Holiday,,,17.0,,,,
Hearts Beat Loud,,,71.0,,,,
Boston Legal,,,82.0,,,,
Burn Notice,,,81.0,,,,
Damsel,,,60.0,,,,
Adventure Time,,,89.0,,,,
Feral,,,40.0,,,,
Shark,,,61.0,,,,
Sorry to Bother You,,,76.0,,,,
The Bisexual,,,49.0,,,,
Cartel Land,,,76.0,,,,
Anthony Bourdain: No Reservations,,,82.0,,,,
Under the Tree,,,70.0,,,,
King of the Hill,,,71.0,,,,
SIX,,,70.0,,,,
The 12th Man,,,73.0,,,,
High Strung,,,66.0,,,,
It Came from the Desert,,,34.0,,,,
The Bernie Mac Show,,,52.0,,,,
Speechless,,,76.0,,,,
Brothers & Sisters,,,72.0,,,,
10 Things I Hate About You,,,71.0,,,,
St. Elsewhere,,,49.0,,,,
The Gillymuck,,,12.0,,,,
The Hug,,,26.0,,,,
The League,,,76.0,,,,
The Riches,,,70.0,,,,
10.0 Earthquake,,,27.0,,,,
The Archer,,,40.0,,,,
Good Behavior,,,76.0,,,,
Crime + Punishment,,,80.0,,,,
Minding the Gap,,,87.0,,,,
A Ciambra,,,75.0,,,,
Borg vs McEnroe,,,68.0,,,,
Rosa Diamante,,,19.0,,,,
Life of Kylie,,,34.0,,,,
Casual,,,79.0,,,,
Alone Together,,,50.0,,,,
The Thundermans,,,53.0,,,,
Enhanced,,,19.0,,,,
UnREAL,,,77.0,,,,
Restaurant: Impossible,,,39.0,,,,
The Murder of Laci Peterson,,,20.0,,,,
The Legend of the Blue Sea,,,77.0,,,,
Curious George 3: Back to the Jungle,,,39.0,,,,
Breakup at a Wedding,,,25.0,,,,
Dirk Gently's Holistic Detective Agency,,,80.0,,,,
Night of the Living Dead,,,82.0,,,,
Half Magic,,,52.0,,,,
All Night,,,14.0,,,,
Witches of East End,,,71.0,,,,
The First 48,,,74.0,,,,
The Hangman,,,21.0,,,,
Tragedy Girls,,,65.0,,,,
Flip or Flop,,,32.0,,,,
Iron Chef America,,,28.0,,,,
Warpath,,,17.0,,,,
Toddlers & Tiaras,,,9.0,,,,
Sister Wives,,,44.0,,,,
Timeless,,,76.0,,,,
Survivor,,,73.0,,,,
Scrubs,,,81.0,,,,
28 Hotel Rooms,,,40.0,,,,
The Girlfriend Experience,,,70.0,,,,
Black Spurs,,,8.0,,,,
