,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
6684,s3576,Movie,Wonder Wheel,Woody Allen,"Jim Belushi, Juno Temple, Justin Timberlake, Kate Winslet, Max Casella",,,2018,PG-13,101 min,Historical,WONDER WHEEL tells the story of four characters whose lives intertwine amid the hustle and bustle of the Coney Island amusement park in the 1950s.,amazon_prime,50.0,tt5825380,Historical
6685,s3577,Movie,Wolf Creek 2,Greg McLean,"John Jarratt, Ryan Corr, Shannon Ashlyn",,,2014,16+,106 min,"Horror, Suspense","Lured by the promise of an Australian holiday, exchange student Paul visits the notorious Wolf Creek Crater. His dream Outback adventure soon becomes a horrific reality when he encounters the site's most infamous local, Mick Taylor (John Jarratt). When Paul attempts to flee, Mick pursues him across a hostile wasteland and eventually drags him back to his underground lair.",amazon_prime,52.0,tt2004432,Horror
6692,s3584,Movie,The Stolen Princess,Oleg Malamuzh,"Alyson Leigh Rosenfeld, Dan Edwards, Abe Goldfarb, Andrew Watts",,,2019,ALL,87 min,"Adventure, Animation, Kids","In a time of valiant knights, beautiful princesses and battling sorcerers, a humble hero named Ruslan fatefully meets the King's daughter, Mila. Despite their standings in society, Mila and Ruslan fall madly in love. However, their happiness is short lived when Mila is abducted by Chernomor, an evil sorcerer. Along with his companions, Ruslan must overcome the forces of evil to save his beloved.",amazon_prime,41.0,tt5378092,Adventure
6697,s3589,Movie,The Missouri Traveler,Jerry Hopper,"Brandon De Wilde, Lee Marvin, Gary Merrill, Mary Hosford, Paul Ford",,,1958,13+,106 min,Drama,"15-year-old orphan Biarn Turner (De Wilde) struggles to survive in the rural South in the 1910's. He arrives in a small town where crusty small-town newspaper editor Doyle Magee (Merrill) decides to take the boy in and give him a chance at a regular life. Wealthy local farmer Tobias Brown (Marvin) also takes an interest in Biarn's future, but treats the young man cruelly, masking Tobias' real hidden feelings of affection and genuine concern. Biarn also proves his worth by training racehorses for the climactic annual horse race.",amazon_prime,4.0,tt0051936,Drama
6698,s3590,Movie,The Limey,Steven Soderbergh,"Terence Stamp, Peter Fonda, Lesley Ann Warren, Luis Guzman, Barry Newman",,,1999,R,89 min,"Action, Drama, Suspense",An extremely volatile and dangerous Englishman goes to Los Angeles to find the man he considers responsible for his daughter's death.,amazon_prime,74.0,tt0165854,Action
6699,s3591,Movie,The Lighthouse,Robert Eggers,"Willem Dafoe, Robert Pattinson, Valeriia Karaman","Canada, United States, Brazil",,2019,R,109 min,"Drama, Horror","Two lighthouse keepers (Robert Pattinson and Willem Dafoe) fight each other for survival and sanity on a remote and mysterious New England island in the 1890s. From Robert Eggers, the visionary filmmaker behind horror masterpiece 'The Witch'.",amazon_prime,77.0,tt7984734,Drama
6700,s3592,Movie,The Goldfinch,John Crowley,"Ansel Elgort, Oakes Fegley, Aneurin Barnard, Finn Wolfhard, Ashleigh Cummings, Willa Fitzgerald, Aimee Laurence, Sarah Paulson, Luke Wilson, Jeffrey Wright, Nicole Kidman, Denis O'Hare, Boyd Gaines, Peter Jacobson, Luke Kleintank, Robert Joy",United States,,2019,R,149 min,Drama,Tragedy changes Theodore Decker's life after his mother was killed in a bombing at the Metropolitan Museum of Art. He holds on to a painting as hope from that tragic day. The Goldfinch.,amazon_prime,55.0,tt3864056,Drama
6702,s3594,Movie,The Dressmaker,Jocelyn Moorhouse,"Kate Winslet, Liam Hemsworth, Judy Davis, Hugo Weaving, Caroline Goodall, Sarah Snook, Kerry Fox, Sacha Horler, Rebecca Gibney, Gyton Grantley, Shane Jacobson, Genevieve Lemon, Alison Whyte, Mark Leonard Winter, James Mackay, Amanda Woodhams, Hayley Magnus, Julia Blake, Terry Norris, Shane Bourne, Darcey Wilson, Rory Potter, Simon Maiden, Tracy Harvey",,,2016,16+,119 min,Historical,"THE DRESSMAKER tells the story of the beautiful and talented Tilly Dunnage. After years working as a dressmaker in exclusive Parisian fashion houses, Tilly returns home to a town in the Australian outback to reconcile with her eccentric mother Molly.",amazon_prime,64.0,tt2910904,Historical
6703,s3595,Movie,The Cheap Detective,Robert Moore,"Peter Falk, Ann-Margret, Eileen Brennan, Sid Caesar, Stockard Channing, James Coco, Dom DeLuise, Louise Fletcher, Madeline Kahn, Jonathan Banks, James Cromwell, David Ogden Stiers, Paul Williams, Scatman Crothers, Abe Vigoda, Marsha Mason, Nicol Williamson",,,1978,PG,92 min,"Comedy, Suspense","Peter Falk is Lou Peckinpaugh who finds himself accused of killing his partner, with whose wife Georgia Merkle he has been having an affair. Amidst this confusion, the sultry Mrs. Montenegro (Madeline Khan) stumbles into Lou's office to search for an ancient treasure. Soon Lou finds himself having to deal with a collection of unsavory characters also looking for the diamonds.",amazon_prime,59.0,tt0077321,Comedy
6704,s3596,Movie,The Big Sick,Michael Showalter,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano, Anupam Kher",United States,,2017,R,120 min,"Comedy, Drama, Romance","The Big Sick is based on the real-life courtship between Pakistan-born comedian Kumail Nanjiani (Nanjiani) and grad student Emily Gordon (Zoe Kazan) who fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family’s expectations, and his true feelings.",amazon_prime,82.0,tt5462602,Comedy
6705,s3597,Movie,The Bachelors,Kurt Voelker,"J.K. Simmons, Josh Wiggins, Odeya Rush, Kevin Dunn, Julie Delpy, Harold Perrineau",,,2017,13+,100 min,"Comedy, Drama","A mourning father moves across the country with his teenage son for a private school teaching job, after the early death of his wife. Their lives begin to transform due to two unique women, who help them embrace life and love again.",amazon_prime,64.0,tt5253282,Comedy
6706,s3598,Movie,The Adventurer: The Curse of the Midas Box,Jonathan Newman,"Michael Sheen, Sam Neill, Lena Headey, Aneurin Barnard, Ioan Gruffudd",,,2014,13+,99 min,"Action, Adventure, Fantasy",Ancient mysteries. Powerful evil. And a fearless hero's quest through a fantastical realm of steam-powered wonders and sinister magic. In The Adventurer: The Curse of the Midas Box seventeen-year-old Mariah Mundi's life is turned upside down when his parents vanish and his younger brother is kidnapped.,amazon_prime,48.0,tt1376213,Action
6709,s3601,Movie,Spun,Jonas Åkerlund,"Jason Schwartzman, Mickey Rourke, Brittany Murphy, John Leguizamo, Patrick Fugit, Mena Suvari, Josh Peck, Eric Roberts",,,2003,R,101 min,"Comedy, Drama","A drug dealer introduces one of his customers, a 'speed freak', to the man who runs the meth lab. A crazy three-day adventure ensues.",amazon_prime,62.0,tt0283003,Comedy
6710,s3602,Movie,Space Truckers,Stuart Gordon,"Tim Loane, Ian Beattie, Olwen Fouéré",,,1997,PG-13,96 min,"Action, Comedy, Science Fiction","A space trucker and his cute fiancee are on their way from a space station to Earth with an unknown cargo. When space pirates hijack them, 5000 disintegrator robots are found in the cargo.",amazon_prime,41.0,tt0120199,Action
6712,s3604,Movie,Snap Decision,Alan Metzger,"Mare Winningham, Felicity Huffman, Chelcie Ross, Megan Fahlebock, Chuck Shamata",,,2002,13+,91 min,Drama,"Inspired by a true story, Mare Winningham stars as a young widowed mother who finds herself on trial for child pornography and abuse after she allows her daughters and friends to be photographed by her friend (Felicity Huffman).",amazon_prime,13.0,tt0286132,Drama
6713,s3605,Movie,Smiley Face Killers,Tim Hunter,"Ronen Rubinstein, Mia Serafino, Crispin Glover",,,2020,R,96 min,"Horror, Suspense","From writer Bret Easton Ellis (AMERICAN PSYCHO, LESS THAN ZERO) and director Tim Hunter (RIVER'S EDGE) comes this intense serial-killer tale about a troubled college student stalked by a sadistic madman looking for his next victim. Based on actual events.",amazon_prime,30.0,tt12757438,Horror
6718,s3610,TV Show,Paradise City,,"Bella Thorne, Cameron Boyce, Drea de Matteo, Andy Biersack, Ryan Hurst, Fairuza Balk, Mark Boone Junior, Booboo Stewart",,,2021,18+,1 Season,"Arts, Entertainment, and Culture, Drama",A controversial rock band with ties to the occult and the maestros who work with them try to keep their west coast family dynamic together amidst the chaos of the industry as a haunting secret of the singer and a young groupie arrives on his doorstep. Their path intertwines with an east coast rookie kid who idolizes them and tries to make his way in the music business as the ultimate underdog.,amazon_prime,65.0,tt4302062,Arts
6719,s3611,Movie,Outcast,Nick Powell,"Nicolas Cage, Hayden Christensen, Alexandre Bailly",,,2015,16+,100 min,Action,"A mysterious warrior teams up with the daughter and son of a deposed Chinese Emperor to defeat their cruel brother, who seeks their deaths.",amazon_prime,74.0,tt4229954,Action
6722,s3614,Movie,National Lampoon's The Legend of Awesomest Maximus,Jeff Kanew,"Will Sasso, Ian Ziering, Kristanna Loken, Sophie Monk, Tony Cox, Rip Torn, Adam DeVine, Russell Peters, Deon Richmond",,,2011,R,91 min,"Action, Adventure, Comedy","King Looney of Troy sends slacker general Awesomest Maximus to maintain peace with rival King Erotic of Greece. But when Prince Orlando steals the King's wife to be his BFF, it's war!",amazon_prime,23.0,tt1059887,Action
6726,s3618,Movie,Milton's Secret,Barnet Bain,"William Ainscough, Donald Sutherland, Michelle Rodriguez",,,2016,PG,88 min,Drama,"With his parents constantly stressing about their careers and finances, and the neighborhood bully tormenting him, Milton feels his whole world is in crisis. But when his Grandpa Howard comes to visit, he discovers anxiety about the past and worrying about the future only make things worse and prevent him from finding true happiness moment to moment.",amazon_prime,25.0,tt2806390,Drama
6728,s3620,Movie,Midnight Crossing,Roger Holzberg,"Faye Dunaway, Daniel J. Travanti, Kim Cattrall, John Laughlin, Ned Beatty",United States,,1988,R,97 min,Suspense,A group of adventurers sneak into Cuba to try to recover one million dollars in cash that was hidden when Fidel Castro first took power.,amazon_prime,18.0,tt0095629,Suspense
6729,s3621,Movie,Maara,Dhilip Kumar,"R.Madhavan, Shraddha Srinath, Sshivada, Mouli, Alexander Babu, M.S.Bhaskar, Guru Somasundaram, Kishore, Abhirami",India,,2021,13+,150 min,Romance,"When Paaru sees a fairy tale she heard from a stranger as a child painted across the walls of a coastal town, she goes in search of the man who painted it – Maara.",amazon_prime,35.0,tt9319874,Romance
6733,s3625,Movie,La Cucaracha,Jack Perez,"Eric Roberts, Joaquim de Almeida, Victor Rivers",,,1999,R,95 min,"Comedy, Drama",A desperate writer fights for survival when the Mexican mob involves him in murder.,amazon_prime,60.0,tt0157913,Comedy
6735,s3627,Movie,Jay and Silent Bob Reboot,Kevin Smith,"Jason Mewes, Kevin Smith",,,2019,R,105 min,Comedy,"The stoner icons who first hit the screen 25 years ago in CLERKS are back. When Jay and Silent Bob discover that Hollywood is rebooting an old movie based on them, it’s game on, as the clueless duo embark on another cross-country mission to stop the madness all over again! With all-star cameos from Matt Damon, Ben Affleck, Chris Hemsworth, Rosario Dawson, Melissa Benoist, Joe Manganiello and more.",amazon_prime,58.0,tt6521876,Comedy
6737,s3629,Movie,Invisible Child,Joan Micklin Silver,"Victor Garber, Rita Wilson, Mae Whitman, Michael Winters, David A.R. White",,,1999,13+,91 min,Drama,Annie (Rita Wilson) and Tom (Victor Garber) hire Gillian as a nanny for their daughter Maggie...who only exists in the mind of her mother to cope with emotional trauma. Gillian plays along until the authorities find out and threaten to put Annie away.,amazon_prime,10.0,tt0172606,Drama
6738,s3630,Movie,Inside Out,David Ogden,"Eriq La Salle, Steven Weber, Kate Walsh, Russell Wong, Tyler Posey, Nia Peebles",,,2005,16+,95 min,Suspense,"When an enigmatic psychiatrist moves into a suburban community, this secretive behavior spins a web of chaos around the neighborhood. With friend against friend and husband against wife, an angered patriarch takes it upon himself to solve the mystery of the doctor.",amazon_prime,10.0,tt0386534,Suspense
6739,s3631,Movie,Hunt to Kill,Keoni Waxman,"Steve Austin, Eric Roberts, Gary Daniels, Emilie Ullerup",,,2010,R,97 min,"Action, Adventure, Suspense","When Jim's (Steve Austin of TV's WWE) teenage daughter is kidnapped, he's forced to lead a band of ruthless killers into the wilderness to retrieve their share of a missing heist score.",amazon_prime,38.0,tt1563719,Action
6740,s3632,Movie,Hot Rod,Akiva Schaffer,"Andy Samberg, Jorma Taccone, Bill Hader, Isla Fisher, Ian McShane, Danny McBride, Sissy Spacek, Will Arnett, Chris Parnell",,,2007,PG-13,88 min,"Comedy, Sports, Young Adult Audience","Amateur stuntman Rod Kimble (Andy Samberg) has a problem: his step-father Frank (Ian McShane) is a jerk. Frank picks on Rod, tosses him around like a rag doll in their weekly sparring sessions, and definitely doesn't respect him, much less his stunts. But when Frank falls ill, it's up to Rod to stage the jump of his life in order to save his step-father.",amazon_prime,61.0,tt0787475,Comedy
6743,s3635,Movie,Guns Akimbo,Jason Lei Howden,"Daniel Radcliffe, Samara Weaving, Rhys Darby",,,2020,R,98 min,Action,A guy relies on his newly acquired gladiator skills to save his ex-girlfriend from kidnappers.,amazon_prime,49.0,tt6902676,Action
